Student_ID,Age,Gender,Education_Level,Course_Name,Time_Spent_on_Videos,Quiz_Attempts,Quiz_Scores,Forum_Participation,Assignment_Completion_Rate,Engagement_Level,Final_Exam_Score,Learning_Style,Feedback_Score,Dropout_Likelihood
S00001,43,Male,Undergraduate,Python Basics,218,2,86,5,72,Medium,98,Reading/Writing,5,No
S00002,29,Female,Undergraduate,Data Science,223,5,55,8,81,Medium,86,Reading/Writing,4,No
S00003,22,Male,Undergraduate,Data Science,332,4,79,8,72,Low,100,Kinesthetic,4,Yes
S00004,35,Male,Undergraduate,Machine Learning,168,3,54,5,82,Medium,83,Visual,5,No
S00005,33,Male,Undergraduate,Machine Learning,399,2,61,4,53,Low,100,Reading/Writing,4,Yes
S00006,37,Male,Undergraduate,Machine Learning,246,5,53,4,65,High,87,Auditory,5,No
S00007,25,Male,Postgraduate,Machine Learning,285,2,52,3,69,Medium,100,Reading/Writing,4,No
S00008,25,Male,Undergraduate,Data Science,166,3,72,6,66,High,65,Auditory,2,No
S00009,38,Female,High School,Python Basics,298,4,87,10,100,Low,100,Kinesthetic,3,Yes
S00010,38,Female,High School,Python Basics,267,1,68,10,51,Medium,100,Auditory,5,Yes
S00011,17,Female,High School,Python Basics,294,1,66,4,91,High,100,Reading/Writing,5,No
S00012,36,Male,Undergraduate,Python Basics,447,2,100,4,99,Medium,100,Reading/Writing,4,No
S00013,16,Male,High School,Machine Learning,317,5,78,5,76,High,100,Visual,5,No
S00014,38,Female,High School,Data Science,220,3,51,3,85,Medium,79,Kinesthetic,4,No
S00015,44,Male,Postgraduate,Data Science,228,4,42,5,88,Medium,90,Auditory,2,Yes
S00016,16,Male,Postgraduate,Data Science,359,4,73,6,84,Medium,100,Kinesthetic,5,No
S00017,35,Male,Undergraduate,Machine Learning,429,4,46,4,53,Medium,100,Reading/Writing,5,Yes
S00018,47,Male,Postgraduate,Data Science,328,1,46,4,85,Medium,100,Visual,5,Yes
S00019,26,Male,High School,Machine Learning,368,3,70,5,96,Medium,100,Reading/Writing,3,No
S00020,36,Female,Undergraduate,Data Science,360,1,77,4,100,Medium,100,Reading/Writing,5,No
S00021,39,Female,Undergraduate,Python Basics,441,2,59,4,60,Medium,100,Reading/Writing,5,No
S00022,41,Female,Undergraduate,Machine Learning,105,4,49,5,77,Medium,61,Auditory,3,Yes
S00023,42,Female,Undergraduate,Data Science,366,3,63,4,80,Medium,100,Reading/Writing,3,No
S00024,30,Female,Undergraduate,Python Basics,398,4,63,2,79,Low,100,Kinesthetic,5,Yes
S00025,29,Male,Undergraduate,Python Basics,166,1,63,4,56,Medium,68,Kinesthetic,2,Yes
S00026,17,Male,Undergraduate,Python Basics,211,1,43,2,95,High,96,Visual,5,Yes
S00027,21,Male,High School,Machine Learning,214,1,49,5,94,High,95,Kinesthetic,4,Yes
S00028,35,Male,High School,Machine Learning,227,4,83,10,88,Medium,100,Reading/Writing,4,No
S00029,23,Female,High School,Data Science,251,3,77,1,76,High,100,Reading/Writing,5,No
S00030,32,Female,High School,Python Basics,324,3,83,4,80,Medium,100,Kinesthetic,5,No
S00031,18,Female,Undergraduate,Data Science,386,2,36,2,74,High,100,Visual,5,Yes
S00032,39,Male,High School,Data Science,408,4,54,4,59,High,100,Visual,5,Yes
S00033,28,Female,Postgraduate,Python Basics,216,2,78,2,93,High,100,Kinesthetic,5,No
S00034,23,Male,High School,Data Science,215,2,72,3,82,Low,89,Auditory,4,Yes
S00035,40,Female,High School,Machine Learning,431,2,70,8,92,Medium,100,Auditory,5,No
S00036,16,Female,Undergraduate,Data Science,364,2,58,5,84,Low,100,Auditory,5,Yes
S00037,34,Male,High School,Python Basics,308,1,52,2,65,High,100,Auditory,5,No
S00038,42,Male,Undergraduate,Machine Learning,347,2,64,4,67,Medium,100,Kinesthetic,5,No
S00039,21,Female,Undergraduate,Machine Learning,297,3,59,3,100,High,100,Visual,5,No
S00040,22,Female,High School,Data Science,352,2,71,7,90,Medium,100,Reading/Writing,5,No
S00041,49,Male,High School,Data Science,266,1,62,10,75,High,84,Reading/Writing,3,No
S00042,28,Female,Undergraduate,Machine Learning,326,5,55,7,88,Low,100,Kinesthetic,4,Yes
S00043,31,Female,High School,Data Science,148,5,79,6,69,Low,74,Reading/Writing,4,Yes
S00044,18,Male,High School,Python Basics,231,5,88,1,100,Medium,100,Auditory,5,No
S00045,16,Female,High School,Data Science,232,4,87,4,63,Medium,93,Visual,3,No
S00046,20,Male,High School,Data Science,262,3,76,4,85,Medium,100,Kinesthetic,4,No
S00047,18,Female,Undergraduate,Machine Learning,207,1,72,8,80,High,85,Visual,4,No
S00048,43,Male,Undergraduate,Data Science,246,5,52,8,80,Low,98,Kinesthetic,4,Yes
S00049,32,Female,Undergraduate,Data Science,148,1,51,4,89,Medium,62,Kinesthetic,1,No
S00050,40,Male,High School,Data Science,354,1,59,3,95,High,100,Kinesthetic,4,No
S00051,48,Female,High School,Python Basics,291,4,76,6,76,Low,99,Kinesthetic,5,Yes
S00052,24,Male,Postgraduate,Data Science,129,5,60,2,51,High,61,Visual,4,Yes
S00053,28,Female,Undergraduate,Python Basics,216,2,59,2,55,High,62,Reading/Writing,2,Yes
S00054,45,Female,Postgraduate,Python Basics,333,1,70,4,76,Low,100,Kinesthetic,5,Yes
S00055,29,Female,Undergraduate,Python Basics,245,5,72,4,82,Medium,96,Auditory,5,No
S00056,22,Female,Undergraduate,Python Basics,230,1,67,9,87,Medium,96,Kinesthetic,5,No
S00057,28,Female,Undergraduate,Machine Learning,292,4,56,5,83,High,100,Visual,5,No
S00058,37,Female,Undergraduate,Python Basics,334,4,63,7,94,Medium,100,Kinesthetic,4,No
S00059,35,Female,Undergraduate,Data Science,156,2,56,5,100,Medium,78,Auditory,3,No
S00060,30,Female,Undergraduate,Python Basics,355,4,67,2,83,High,100,Visual,4,No
S00061,32,Female,High School,Data Science,219,5,63,7,86,Low,89,Kinesthetic,5,Yes
S00062,38,Male,Undergraduate,Python Basics,298,4,59,3,69,High,100,Auditory,5,No
S00063,40,Male,Undergraduate,Machine Learning,296,2,65,9,82,High,100,Visual,5,No
S00064,39,Female,Postgraduate,Python Basics,247,3,97,6,87,Medium,94,Kinesthetic,5,No
S00065,43,Male,Undergraduate,Python Basics,197,1,70,4,84,High,95,Auditory,5,No
S00066,29,Female,Undergraduate,Machine Learning,271,1,35,5,67,High,100,Visual,4,Yes
S00067,15,Female,High School,Python Basics,462,5,75,3,84,Medium,100,Kinesthetic,5,No
S00068,39,Male,Undergraduate,Data Science,163,2,56,3,81,Medium,76,Visual,2,No
S00069,21,Female,Undergraduate,Python Basics,469,2,49,6,84,Medium,100,Auditory,4,Yes
S00070,23,Female,Postgraduate,Python Basics,274,2,74,2,76,Low,100,Kinesthetic,5,Yes
S00071,38,Male,Undergraduate,Python Basics,303,1,63,7,81,High,100,Kinesthetic,5,No
S00072,15,Male,Undergraduate,Machine Learning,191,4,100,9,100,Low,100,Kinesthetic,5,Yes
S00073,22,Female,Undergraduate,Python Basics,222,1,60,4,81,Medium,90,Auditory,5,No
S00074,38,Male,Postgraduate,Python Basics,249,1,58,5,96,Medium,100,Reading/Writing,5,No
S00075,25,Male,Undergraduate,Data Science,195,1,79,1,100,Low,77,Kinesthetic,4,Yes
S00076,31,Female,Undergraduate,Python Basics,279,4,68,8,60,High,88,Auditory,5,No
S00077,22,Male,Postgraduate,Python Basics,259,3,50,2,77,High,100,Visual,4,No
S00078,49,Male,High School,Python Basics,485,5,56,5,78,Medium,100,Visual,3,No
